,Datetime_UTC,M5,M15,M25,M35,M45,M55,M65,M75,M85,T5,T15,T25,T35,T45,T55,T65,T75,T85,S5,S15,S25,S35,S45,S55,S65,S75,S85,Radio,Sensor,Field,total,pct
33,4/26/2018 18:00:00,13.36059,11.934389999999999,12.56981,9.4921,7.80501,8.25305,7.939369999999999,7.1570100000000005,7.6765300000000005,24.48262,22.28637,21.22554,21.01855,21.21453,21.46118,21.79673,21.93284,21.98939,960.66302,894.68481,956.4708300000001,1033.802,1112.5870400000001,1035.047,1001.97198,1004.4119900000001,1032.4940199999999,ASR-8153,B4I1N1,N,47.35689,11.8392225
34,4/26/2018 17:30:00,11.31093,13.85682,10.151480000000001,10.26785,8.71159,10.02055,8.43525,5.70884,9.63764,24.78765,21.93621,20.70214,20.59423,20.65905,20.99875,21.726589999999998,21.95186,21.78689,936.7393800000001,890.0504199999999,963.4553199999999,900.40271,875.8737199999999,866.7374300000001,892.1275,950.23187,1004.98999,ASR-8154,B2I3N1,S,45.58708,11.39677
35,4/26/2018 16:30:00,6.45242,9.66189,11.45717,9.478489999999999,7.21081,11.004589999999999,4.99785,7.01023,5.92395,23.64857,21.45295,20.396079999999998,20.99932,21.35845,21.60427,21.43833,21.54851,21.09352,1101.66504,979.3339199999999,936.22418,994.7988300000001,967.78351,807.69092,1035.302,954.43921,953.9473300000001,ASR-8155,B3I3N5,S,37.04997,9.2624925
36,4/26/2018 18:00:00,7.12453,13.39669,10.845460000000001,9.75333,8.19241,9.72407,8.73302,8.09416,9.59832,25.89944,22.31589,21.549670000000003,20.859370000000002,20.81405,21.32386,21.679470000000002,21.325689999999998,21.85023,1231.61694,935.29291,961.8325800000001,917.8823199999999,891.24823,841.6525300000001,1005.198,1268.70398,1422.1629599999999,ASR-8156,B2I3N3,S,41.12001,10.2800025
37,4/26/2018 15:30:00,8.1636,8.30863,11.33421,5.65419,5.5947,6.07906,4.79275,5.46634,7.6155800000000005,21.22852,20.18785,21.17011,20.94857,21.40859,21.72265,21.68816,21.68658,21.53814,968.68842,990.5939900000001,804.7489,930.6292699999999,925.6347,908.8026699999999,840.37329,806.9395099999999,910.35553,ASR-8157,B4I3N1,S,33.46063,8.3651575
38,4/26/2018 15:30:00,6.2721599999999995,6.742389999999999,9.074539999999999,8.37802,8.45813,5.965669999999999,5.55537,4.34656,6.56968,22.049329999999998,21.23254,21.711170000000003,21.991970000000002,22.1723,21.79211,22.58176,21.77648,21.30255,957.24902,1071.90906,1019.9630099999999,1023.2230199999999,951.0360099999999,1030.9520300000001,1173.94104,1264.79004,1223.69495,ASR-8158,B2I3N3,N,30.467109999999998,7.6167774999999995
39,4/26/2018 18:00:00,6.89997,11.75912,15.217310000000001,8.58268,8.883569999999999,9.33197,8.50205,8.212760000000001,9.074689999999999,27.10688,23.52873,22.79293,22.506829999999997,22.190379999999998,22.24938,21.485879999999998,21.09349,20.84256,1080.0720199999998,1061.47595,1245.38599,1335.9129599999999,1267.198,1193.67603,1154.66699,1251.40601,1263.22205,ASR-8159,B3I3N5,N,42.45908,10.61477
40,4/26/2018 19:00:00,9.27265,8.50981,11.17212,7.200360000000001,6.98687,9.02262,6.35192,5.2420800000000005,10.31617,24.84798,22.64915,21.30001,21.4428,21.27863,22.06052,21.6332,21.12829,21.522470000000002,932.54291,918.5687300000001,870.34979,920.7551900000001,972.24719,835.93597,924.2865,1009.6909800000001,854.4304800000001,ASR-8161,B4I3N2,S,36.15494,9.038735
41,4/26/2018 16:30:00,10.89976,13.02558,10.85834,10.61352,8.82646,8.52425,7.64243,5.77869,5.8251800000000005,22.70315,20.925720000000002,20.26428,21.37902,21.24476,21.70974,21.437160000000002,21.53265,21.3891,992.17389,887.2139300000001,851.03308,833.05701,894.87677,882.2523199999999,867.0051300000001,910.24408,962.0603,ASR-8163,B2I1N3,S,45.3972,11.3493
42,4/26/2018 18:00:00,6.1185599999999996,8.44463,9.37331,9.029119999999999,8.32742,7.65675,6.2670699999999995,6.0446599999999995,6.15835,25.576810000000002,22.03314,21.1136,20.9933,21.24176,20.979870000000002,21.41444,21.4062,21.45111,1111.6729699999999,1039.82104,932.2393199999999,923.3814699999999,1055.59399,924.2578699999999,946.08282,1050.5379599999999,1112.22302,ASR-8164,B3I2N2,S,32.96562,8.241405
43,4/26/2018 15:30:00,6.14236,7.39041,10.21649,9.65413,8.22508,9.86,7.46557,4.97813,5.34143,22.73091,21.63126,21.383229999999998,21.70834,21.813679999999998,21.908179999999998,22.18552,21.72557,21.56883,1099.80005,1042.26794,1008.203,1017.125,1038.66895,987.71161,1043.245,972.50891,1214.28601,ASR-8165,B3I5N2,N,33.40339,8.3508475
44,4/26/2018 17:00:00,4.49696,7.17097,7.549980000000001,9.05212,6.92467,7.37003,6.816139999999999,5.41202,6.64565,27.7204,23.40717,21.98087,21.450770000000002,21.706039999999998,21.9942,21.83971,21.908620000000003,21.116629999999997,1138.6629599999999,1072.89697,1044.41504,912.9160199999999,925.2337,870.92651,905.73401,979.2877800000001,969.8762800000001,ASR-8166,B4I5N2,S,28.27003,7.067507499999999
45,4/26/2018 18:00:00,8.73028,16.15793,9.6399,9.1958,8.106819999999999,5.79791,7.28735,3.8361199999999998,5.25756,25.583820000000003,22.330289999999998,21.03343,21.60032,21.91188,21.94577,21.31938,21.469839999999998,21.3905,1035.64502,882.5211199999999,1044.12903,887.73328,795.81012,904.14581,845.02307,777.58533,872.4986,ASR-8167,B4I1N1,S,43.72391,10.9309775
46,4/26/2018 19:00:00,5.5303,7.668410000000001,7.2503,6.6033,6.8558,5.88737,5.42742,3.06182,3.80816,29.41798,25.69525,23.0382,21.97365,21.780260000000002,21.547710000000002,21.10437,21.56053,21.05941,1073.03101,962.7222300000001,996.63861,1018.92297,1049.63794,982.7172199999999,849.0029300000001,692.4259,823.53021,ASR-8168,B2I3N5,S,27.052310000000002,6.7630775000000005
47,4/26/2018 17:30:00,7.90613,13.148470000000001,15.49415,10.140830000000001,8.25814,8.5589,6.92231,8.04455,9.851280000000001,24.61599,21.61702,20.87823,21.1342,21.071279999999998,21.12583,20.841260000000002,20.45761,20.459889999999998,1104.172,915.13641,905.4616699999999,894.92749,875.3264800000001,853.86603,917.6795,1015.45697,1083.33398,ASR-8171,B2I1N2,S,46.68958,11.672395
48,4/26/2018 19:00:00,8.48068,7.8682300000000005,11.50583,5.3464,7.44302,7.0844,6.13551,2.92995,6.41073,26.32027,23.74855,22.059820000000002,21.50366,21.10932,21.44396,21.35993,21.23955,21.12206,1125.94897,1086.32104,969.1406300000001,1192.052,1037.0629900000001,965.0282,897.3198199999999,731.5849,1071.59399,ASR-8173,B3I1N1,S,33.20114,8.300285
49,4/26/2018 17:00:00,7.736330000000001,9.04015,8.19399,8.04349,7.30728,6.48723,5.790080000000001,5.48223,6.51601,24.79401,22.09374,20.76991,20.39336,20.40212,20.93635,21.51041,21.22082,21.08975,952.0070199999999,1043.35095,1048.09802,993.41229,1015.61499,1051.146,1008.50098,1061.60901,978.0186800000001,ASR-8174,B3I1N2,S,33.01396,8.25349
50,4/26/2018 18:00:00,8.157210000000001,17.5969,13.1399,11.92508,10.903789999999999,11.71321,11.52764,6.93572,7.0801,24.603289999999998,21.72206,20.3973,20.90723,20.70757,21.29274,21.35276,21.25101,21.215989999999998,1177.6550300000001,1107.85498,1076.45605,1028.5949699999999,1093.74194,1052.26697,1056.37402,1218.94995,1181.06396,ASR-8298,B4I2N2,N,50.81909000000001,12.704772500000002
51,4/26/2018 15:30:00,10.60665,13.4365,11.42394,10.23047,7.1855199999999995,7.28648,6.86154,5.27745,6.05079,22.27594,19.66242,19.95906,20.48966,21.15036,21.467579999999998,20.83875,21.42871,21.391939999999998,1096.45801,1000.22699,1042.099,914.7061800000001,955.4475699999999,931.44922,930.96649,1003.27899,1260.65698,ASR-8301,B3I1N3,S,45.697559999999996,11.424389999999999
